,Well_Name,Well_Types
469,MW-139s,Monitoring Wells
470,MW-140d,Monitoring Wells
471,MW-140s,Monitoring Wells
472,MW-141d,Monitoring Wells
473,MW-141s,Monitoring Wells
474,MW-14d,Monitoring Wells
475,MW-14s,Monitoring Wells
476,MW-15d,Monitoring Wells
477,MW-15s,Monitoring Wells
478,MW-16,Monitoring Wells
479,MW-17,Monitoring Wells
480,MW-18d,Monitoring Wells
481,MW-18s,Monitoring Wells
482,MW-19,Monitoring Wells
483,MW-20,Monitoring Wells
484,MW-21,Not Applicable
485,MW-22,Monitoring Wells
486,MW-23,Monitoring Wells
487,MW-24,Monitoring Wells
488,MW-25d,Monitoring Wells
489,MW-25s,Monitoring Wells
490,MW-26,Monitoring Wells
491,MW-27,Monitoring Wells
492,MW-28,Monitoring Wells
493,MW-29,Monitoring Wells
494,MW-2d,Monitoring Wells
495,MW-2s,Monitoring Wells
496,MW-30d,Monitoring Wells
497,MW-30i,Monitoring Wells
498,MW-31,Monitoring Wells
499,MW-32,Monitoring Wells
500,MW-33,Monitoring Wells
501,MW-34d,Monitoring Wells
502,MW-34s,Monitoring Wells
503,MW-35,Monitoring Wells
504,MW-36,Monitoring Wells
505,MW-37,Monitoring Wells
506,MW-38d,Monitoring Wells
507,MW-38s,Monitoring Wells
508,MW-39d,Monitoring Wells
509,MW-39s,Monitoring Wells
510,MW-3d,Monitoring Wells
511,MW-3s,Monitoring Wells
512,MW-400 Clarendon,Monitoring Wells
513,MW-40d,Monitoring Wells
514,MW-40s,Monitoring Wells
515,MW-41d,Monitoring Wells
516,MW-41s,Monitoring Wells
517,MW-42d,Monitoring Wells
518,MW-42s,Monitoring Wells
519,MW-43,Monitoring Wells
520,MW-44,Monitoring Wells
521,MW-45d,Monitoring Wells
522,MW-45s,Monitoring Wells
523,MW-46,Monitoring Wells
524,MW-47d,Monitoring Wells
525,MW-47s,Monitoring Wells
526,MW-48,Monitoring Wells
527,MW-49,Monitoring Wells
528,MW-4d,Monitoring Wells
529,MW-4s,Monitoring Wells
530,MW-50,Monitoring Wells
531,MW-50/MW-58s,Extraction Wells
532,MW-51,Monitoring Wells
533,MW-52d,Monitoring Wells
534,MW-52i,Monitoring Wells
535,MW-52s,Monitoring Wells
