"Number","Well name","Trend","Historical High","2021 Prediction","2022 Prediction","2023 Prediction","2024 Prediction","2025 Prediction","Prediction High","Below detectable level (1 ppb)","Below trigger for responese level (4 ppb)","Below current drinking water standard (7.2 ppb)","Below previous drinking water standard (85 ppb)",""
"222","SW-2M","no trend","8","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"223","SW-3M","no trend","11","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"224","SW-COMB","decreasing","1152","403","403","403","403","403","403","","","","",""
"225","Saginaw Forest Cabin #1","increasing","49","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"226","Saginaw Forest Cabin #2","decreasing","6","0.500002338","0.500002382","0.500002427","0.500002472","0.500002517","0.500002517","1","1","1","1",""
"227","TW-1","decreasing","30500","30","20","10","0","0","30","","","","1",""
"228","TW-10","decreasing","12231","77","323","77","323","77","323","","","","",""
"229","TW-11","decreasing","3623","9.24812882","9.24812882","9.24812882","9.24812882","9.24812882","9.24812882","","","","1",""
"230","TW-12","decreasing","564","17.09581185","16.75677636","16.46001621","16.19926982","15.96939932","17.09581185","","","","1",""
"231","TW-13","decreasing","1471","587.5116347","587.5116347","587.5116347","587.5116347","587.5116347","587.5116347","","","","",""
"232","TW-14","decreasing","2837","0","0","0","0","0","0","1","1","1","1",""
"233","TW-15","increasing","343","191.2347751","200.5532527","213.062442","200","300","300","","","","",""
"234","TW-17","decreasing","740","288.8597814","288.8597814","288.8597814","288.8597814","288.8597814","288.8597814","","","","",""
"235","TW-18","decreasing","2710","300","300","300","300","300","300","","","","",""
"236","TW-19","decreasing","1172","646.6303648","646.6303648","646.6303648","646.6303648","646.6303648","646.6303648","","","","",""
"237","TW-20","decreasing","8344","910","910","910","910","910","910","","","","",""
"238","TW-21","increasing","518","241.6564094","246.5989374","251.5414653","202.1722455","202.1722455","251.5414653","","","","",""
"239","TW-22","decreasing","890","487.8965558","469.8859157","451.8752755","433.8646354","415.8539953","487.8965558","","","","",""
"240","TW-3","decreasing","10500","37.59391072","32.18782144","26.78173216","21.37564288","15.9695536","37.59391072","","","","1",""
"241","TW-4","decreasing","6743","0","0","0","0","0","0","1","1","1","1",""
"242","TW-5","decreasing","12871","48.32183368","48.32183368","48.32183368","48.32183368","48.32183368","48.32183368","","","","1",""
"243","TW-6","decreasing","23267","77","77","77","77","77","77","","","","1",""
"244","TW-8","decreasing","1304","704.7777778","704.7777778","704.7777778","704.7777778","704.7777778","704.7777778","","","","",""
"245","TW-9","decreasing","12761","31.58303215","31.50704676","31.46511446","31.4364366","31.41478673","31.58303215","","","","1",""
